,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
359,ornskoldsvik,90,SE,1611433707,100,63.2909,18.7153,265.15,2.57
360,agadir,0,MA,1611433707,100,30.4202,-9.5982,286.15,1.54
361,shingu,100,JP,1611433707,91,33.7333,135.9833,285.16,6.51
362,sisimiut,9,GL,1611433435,81,66.9395,-53.6735,265.14,3.46
363,caninde,23,BR,1611433708,37,-4.3589,-39.3117,305.71,3.18
364,koster,89,ZA,1611433708,30,-25.863,26.8976,295.24,3.14
365,kabinda,100,CD,1611433708,92,-6.1333,24.4833,293.67,0.78
366,kununurra,100,AU,1611433708,100,-15.7667,128.7333,298.15,2.14
367,yaan,89,NG,1611433369,16,7.3833,8.5667,300.51,2.2
368,henties bay,100,NA,1611433709,86,-22.116,14.2845,294.82,1.77
369,slave lake,90,CA,1611433709,71,55.2834,-114.769,255.15,3.09
370,disna,100,BY,1611433445,97,55.568,28.1971,275.74,4.74
371,kemin,100,KG,1611433710,91,42.7846,75.6892,264.52,1.46
372,san quintin,83,MX,1611433710,59,30.4833,-115.95,288.24,4.6
373,hofn,100,IS,1611433660,83,64.2539,-15.2082,274.59,12.55
374,yerbogachen,79,RU,1611433711,75,61.2767,108.0108,226.8,0.83
375,misratah,0,LY,1611433436,70,32.3754,15.0925,289.03,5.89
376,shimoda,100,JP,1611433691,94,34.6667,138.95,275.93,2.24
377,presidencia roque saenz pena,67,AR,1611433476,44,-26.7852,-60.4388,308.71,1.34
378,tura,100,IN,1611433712,67,25.5198,90.2201,286.63,1.03
379,bethel,1,US,1611433712,26,41.3712,-73.414,271.48,7.2
380,kachug,100,RU,1611433713,88,53.9606,105.8817,254.18,1.31
381,kabalo,100,CD,1611433713,93,-6.05,26.9167,294.77,0.26
382,namibe,79,AO,1611433713,76,-15.1961,12.1522,297.0,2.51
383,verkhoyansk,100,RU,1611433714,76,67.5447,133.385,231.41,0.52
384,seymchan,100,RU,1611433445,83,62.8833,152.4333,239.14,1.11
385,khani,0,GE,1611433715,44,41.9563,42.9566,276.15,5.14
386,darlington,0,GB,1611433715,81,54.5243,-1.5504,271.48,2.88
387,spring valley,75,US,1611433472,40,36.108,-115.245,284.82,2.57
388,meulaboh,72,ID,1611433479,88,4.1363,96.1285,297.51,1.75
389,eldorado,100,BR,1611433716,79,-23.7869,-54.2836,300.23,1.28
390,nedryhayliv,100,UA,1611433716,97,50.834,33.8763,275.49,3.98
391,bangkalan,20,ID,1611433716,94,-7.0455,112.7351,299.15,2.57
392,puerto escondido,40,MX,1611433717,70,15.85,-97.0667,302.15,2.06
393,bintulu,20,MY,1611433717,100,3.1667,113.0333,298.15,2.87
394,osa,100,RU,1611433717,94,57.2829,55.4567,258.76,4.12
395,cajabamba,67,PE,1611433717,52,-7.6167,-78.05,292.35,2.12
396,mandera,53,KE,1611433719,21,3.9366,41.867,304.34,4.83
397,tungor,100,RU,1611433719,86,53.3808,142.9564,249.52,1.8
398,acapulco,75,MX,1611433719,70,16.8634,-99.8901,302.15,4.63
399,uddevalla,90,SE,1611433719,93,58.3478,11.9424,275.37,2.57
400,port lincoln,100,AU,1611433623,45,-34.7333,135.8667,297.4,2.65
